t,y
0,4.0342
0.004,4.088
0.008,3.8126
0.012,2.6672
0.016,4.4469
0.02,2.522
0.024,0.48974
0.028,0.31657
0.032,0.78151
0.036,-0.96148
0.04,-1.9374
0.044,-0.38045
0.048,1.9668
0.052,1.0415
0.056,1.5014
0.06,4.0564
0.064,0.41175
0.068,-0.51318
0.072,-0.5777
0.076,-1.541
0.08,-2.31
0.084,-2.7719
0.088,0.84297
0.092,2.2009
0.096,3.3313
0.1,3.8999
0.104,4.3063
0.108,5.2983
0.112,3.1763
0.116,1.2531
0.12,0.18241
0.124,-1.4927
0.128,-2.4244
0.132,-2.3288
0.136,-0.31461
0.14,1.192
0.144,0.82323
0.148,1.918
0.152,3.946
0.156,5.7588
0.16,4.6721
0.164,3.9016
0.168,2.7962
0.172,4.383
0.176,1.3549
0.18,1.5768
0.184,2.8491
0.188,0.99225
0.192,3.2365
0.196,1.8733
0.2,2.8814
0.204,4.8521
0.208,2.8829
0.212,3.7956
0.216,1.6172
0.22,1.5969
0.224,0.21306
0.228,-0.68224
0.232,-1.717
0.236,-0.43575
0.24,-0.88626
0.244,0.71396
0.248,2.1085
0.252,3
0.256,0.67801
0.26,2.4759
0.264,2.6203
0.268,0.12571
0.272,-0.35486
0.276,-0.11118
0.28,0.87241
0.284,0.30978
0.288,1.0363
0.292,2.6732
0.296,1.7959
0.3,0.58157
0.304,-0.59403
0.308,-0.64243
0.312,-2.1922
0.316,-3.1826
0.32,-1.5366
0.324,0.0026905
0.328,-0.46405
0.332,-1.4901
0.336,-2.4469
0.34,-3.1521
0.344,-3.6823
0.348,-5.4211
0.352,-4.2416
0.356,-2.0785
0.36,-0.17383
0.364,2.5105
0.368,4.7525
0.372,5.6363
0.376,6.5635
0.38,5.0408
0.384,3.678
0.388,2.4752
0.392,3.2378
0.396,1.1779
0.4,0.28605
0.404,0.9706
0.408,-0.03771
0.412,-0.75709
0.416,0.0016636
0.42,-0.49654
0.424,-1.0414
0.428,-2.7391
0.432,-3.2145
0.436,-1.9946
0.44,-2.6085
0.444,-3.808
0.448,-2.8194
0.452,-1.2334
0.456,-0.25177
0.46,1.2121
0.464,3.8683
0.468,5.0611
0.472,2.1722
0.476,1.6029
0.48,1.5539
0.484,0.74387
0.488,0.42243
0.492,0.074412
0.496,2.1443
0.5,3.5121
0.504,1.4521
0.508,2.1385
0.512,4.8477
0.516,3.3442
0.52,1.3729
0.524,0.97383
0.528,3.2975
0.532,2.4781
0.536,1.4311
0.54,1.3113
0.544,2.104
0.548,0.63196
0.552,0.42957
0.556,0.87538
0.56,1.8288
0.564,-0.067953
0.568,-2.5701
0.572,-1.3201
0.576,-2.1698
0.58,-2.2279
0.584,-1.9107
0.588,-1.6061
0.592,-1.6643
0.596,-2.4232
0.6,-2.9336
0.604,-1.3651
0.608,-2.5435
0.612,-1.5594
0.616,-0.79993
0.62,-0.47212
0.624,1.4349
0.628,1.6641
0.632,1.8259
0.636,2.635
0.64,3.8958
0.644,1.4286
0.648,-0.58483
0.652,0.085241
0.656,-0.67926
0.66,-0.25756
0.664,0.46012
0.668,1.2923
0.672,2.5957
0.676,-0.74139
0.68,1.8981
0.684,1.8109
0.688,0.60893
0.692,-0.40025
0.696,-0.56108
0.7,-2.4246
0.704,-0.80715
0.708,-0.92641
0.712,2.2845
0.716,2.4005
0.72,0.84353
0.724,-0.20068
0.728,-0.93107
0.732,-2.9473
0.736,-3.6688
0.74,-2.1978
0.744,-2.6277
0.748,-1.4419
0.752,-2.8064
0.756,-1.6309
0.76,-2.2575
0.764,-2.3874
0.768,-2.8347
0.772,0.72994
0.776,2.2606
0.78,0.36172
0.784,1.0136
0.788,1.7626
0.792,1.5988
0.796,0.88921
0.8,0.17229
0.804,2.6404
0.808,2.7156
0.812,0.57662
0.816,0.24213
0.82,0.62457
0.824,-0.79537
0.828,-2.2996
0.832,-2.2594
0.836,-0.59436
0.84,0.025444
0.844,-0.92217
0.848,0.33421
0.852,0.39064
0.856,-0.87633
0.86,-2.711
0.864,-1.5147
0.868,-0.57077
0.872,-1.0798
0.876,-0.98055
0.88,-0.36028
0.884,1.1576
0.888,-1.8242
0.892,-1.1173
0.896,-0.0030298
0.9,-0.46939
0.904,-0.95389
0.908,-1.9456
0.912,0.51884
0.916,-0.064514
0.92,-0.035905
0.924,-0.35957
0.928,-0.41898
0.932,-2.087
0.936,-2.0668
0.94,-0.97813
0.944,-1.3079
0.948,0.16177
0.952,-0.96083
0.956,0.49387
0.96,0.29644
0.964,-1.063
0.968,-1.5229
0.972,0.48688
0.976,0.67412
0.98,0.6169
0.984,2.0837
0.988,2.2736
0.992,1.7967
0.996,2.0572
1,1.4996
1.004,0.66121
1.008,1.2829
1.012,0.82645
1.016,1.144
1.02,2.1569
1.024,1.1311
1.028,0.20119
1.032,-0.82054
1.036,-0.18981
1.04,0.66123
1.044,1.7302
1.048,2.4853
1.052,1.4614
1.056,1.1916
1.06,0.24558
1.064,-0.4906
1.068,0.044741
1.072,2.7289
1.076,1.2097
1.08,1.4781
1.084,1.6606
1.088,-1.1248
1.092,-0.82964
1.096,-0.44984
1.1,-0.8507
1.104,0.50326
1.108,-0.49794
1.112,-0.50312
1.116,-0.54646
1.12,0.16969
1.124,0.080023
1.128,1.6112
1.132,3.0848
1.136,2.6271
1.14,2.6111
1.144,0.25313
1.148,2.1373
1.152,0.48914
1.156,0.78544
1.16,1.39
1.164,-0.21708
1.168,0.55959
1.172,-2.4312
1.176,-2.635
1.18,-1.4905
1.184,-2.1701
1.188,-1.1117
1.192,-1.6382
1.196,-0.95993
1.2,-1.3484
1.204,-2.2117
1.208,-1.3282
1.212,-2.8148
1.216,-1.2594
1.22,-2.7222
1.224,-2.6002
1.228,-1.2808
1.232,-0.17448
1.236,0.75005
1.24,3.4465
1.244,3.0731
1.248,3.0975
1.252,1.9915
1.256,3.4084
1.26,5.7008
1.264,4.0513
1.268,3.7623
1.272,4.2048
1.276,1.9514
1.28,1.4011
1.284,0.85095
1.288,0.12522
1.292,1.662
1.296,-0.069359
1.3,-0.19717
1.304,-0.83248
1.308,0.62491
1.312,0.8428
1.316,1.1288
1.32,2.2434
1.324,0.34794
1.328,0.33307
1.332,-2.5913
1.336,-1.1578
1.34,-1.5259
1.344,-3.9387
1.348,-3.6938
1.352,0.12273
1.356,1.1843
1.36,1.7519
1.364,3.0444
1.368,3.9789
1.372,3.4834
1.376,2.7603
1.38,2.527
1.384,3.4732
1.388,2.538
1.392,4.0851
1.396,2.8904
1.4,3.8787
1.404,0.68353
1.408,1.086
1.412,0.59049
1.416,1.9153
1.42,2.5588
1.424,2.8749
1.428,1.8452
1.432,0.48336
1.436,1.861
1.44,-1.4496
1.444,-1.3859
1.448,-0.26288
1.452,-0.28395
1.456,0.3812
1.46,0.76959
1.464,0.078372
1.468,-0.89379
1.472,-2.6421
1.476,-1.2963
1.48,-2.9438
1.484,-0.66383
1.488,-1.3249
1.492,0.37888
1.496,0.079808
1.5,-0.40914
1.504,-0.36354
1.508,0.098881
1.512,-0.7463
1.516,0.72251
1.52,-0.31632
1.524,1.5452
1.528,1.1405
1.532,-0.85912
1.536,-0.41845
1.54,1.4724
1.544,0.62292
1.548,1.306
1.552,1.1305
1.556,3.2945
1.56,2.5305
1.564,1.2264
1.568,1.3678
1.572,3.9211
1.576,4.0534
1.58,2.8235
1.584,3.7005
1.588,1.742
1.592,1.2918
1.596,-0.18975
1.6,-0.46739
1.604,-1.9993
1.608,-2.0175
1.612,-1.6178
1.616,-1.0172
1.62,-0.25553
1.624,0.52909
1.628,0.8871
1.632,3.9724
1.636,3.0342
1.64,1.3008
1.644,2.9278
1.648,1.1624
1.652,-0.42518
1.656,-0.070987
1.66,0.57856
1.664,-0.33027
1.668,-1.5923
1.672,-0.73163
1.676,0.68453
1.68,0.71951
1.684,1.2319
1.688,0.22834
1.692,2.9882
1.696,1.4763
1.7,3.4921
1.704,2.5221
1.708,5.3468
1.712,6.4988
1.716,6.4761
1.72,5.3629
1.724,4.5543
1.728,4.2363
1.732,2.0583
1.736,2.0285
1.74,2.66
1.744,2.9446
1.748,1.2294
1.752,-0.35403
1.756,0.82073
1.76,-1.2039
1.764,-0.36339
1.768,0.73383
1.772,1.4935
1.776,1.8606
1.78,1.933
1.784,-1.4287
