t,EEG,S1,S2,S3,ES1,ES2,ES3,,f,TS1,TS2,TS3,PSD
0,0.492892366679126,0.000308643060391,0.002182765444166,0.010032166385653,0.000152127808495,0.00107586842568,0.004944778232743,,0,0.021680647640201,0.245129582120538,0.680029961097655,0.315613396952798
1,0.459687240019774,0.000342332535504,0.002357142985497,0.010565536118049,0.000157365898415,0.001083548553335,0.004856842137435,,1,0.263969230970028,0.332690256476414,0.282502262614122,0.293053916686854
2,0.321585743739375,0.000377762560028,0.002537682995572,0.011108951744447,0.000121483053823,0.000816082673506,0.003572480508903,,2,0.24589541691496,0.228550818396435,0.12823196605459,0.200892733788662
3,0.536165133411302,0.000414980788986,0.002724458969794,0.011662287636415,0.00022249823009,0.001460759907013,0.00625291200646,,3,0.081449579699986,0.267870480339608,0.522271321105481,0.290530460381692
4,0.304078901361241,0.000454035252044,0.002917542233701,0.012225409983819,0.000138062540621,0.000887163037099,0.00371748923657,,4,0.205086365787337,0.214149431665933,0.332928672073987,0.250721489842419
5,0.059048216158864,0.000494974335325,0.003117001863924,0.012798176794695,2.92273515453381E-05,0.000184053399829,0.000755709509812,,5,0.162962024848221,0.154612801825881,0.164666942577986,0.160747256417363
6,0.038169015782684,0.000537846762731,0.003322904609622,0.013380437900977,2.052908157534E-05,0.000126831998489,0.000510718145422,,6,0.523172603071401,0.568841457657215,0.463747845103067,0.518587301943894
7,0.094227082554649,0.000582701576784,0.003535314814439,0.013972034970124,5.490626958032E-05,0.000333122400877,0.001316544092586,,7,0.513777241837685,0.818488709908152,0.571989918117182,0.634751956621006
8,-0.11592616260143,0.000629588118979,0.003754294339052,0.014572801522677,-7.29857346527274E-05,-0.000435220936003,-0.001689368958876,,8,0.325550135346721,0.588824687947488,0.648559180046151,0.520978001113453
9,-0.23359336379749,0.000678556009672,0.003979902484364,0.015182562955786,-0.000158506180824,-0.000929678808909,-0.003546545951909,,9,0.107267880244714,0.281099897474756,0.687948374288883,0.358772050669451
10,-0.045871061864744,0.000729655127489,0.004212195915401,0.015801136572737,-3.34700554929771E-05,-0.000193217899422,-0.000724814913261,,10,0.373206481854673,0.386801536072347,0.43864915010437,0.399552389343797
11,0.237138137667442,0.000782935588282,0.004451228585972,0.016428331618489,0.000185663887319,0.001055556057209,0.003895783964992,,11,0.314735484437281,0.316864497774901,0.657863842671612,0.429821274961265
